"Time","value"
2024-07-11 13:50:24,32.3
2024-07-11 13:50:26,32.3
2024-07-11 13:50:28,32.2
2024-07-11 13:50:31,32.3
2024-07-11 13:50:33,32.3
2024-07-11 13:50:35,32.3
2024-07-11 13:50:37,32.3
2024-07-11 13:50:39,32.3
2024-07-11 13:50:41,32.3
2024-07-11 13:50:43,32.3
2024-07-11 13:50:45,32.3
2024-07-11 13:50:47,32.3
2024-07-11 13:50:50,32.3
2024-07-11 13:50:52,32.3
2024-07-11 13:50:54,32.3
2024-07-11 13:50:56,32.3
2024-07-11 13:50:58,32.3
2024-07-11 13:51:00,32.3
2024-07-11 13:51:02,32.3
2024-07-11 13:51:04,32.3
2024-07-11 13:51:06,32.3
2024-07-11 13:51:08,32.3
2024-07-11 13:51:11,32.3
2024-07-11 13:51:13,32.3
2024-07-11 13:51:15,32.3
2024-07-11 13:51:17,32.3
2024-07-11 13:51:19,32.4
2024-07-11 13:51:21,32.3
2024-07-11 13:51:23,32.3
2024-07-11 13:51:25,32.3
2024-07-11 13:51:27,32.3
2024-07-11 13:51:29,32.3
2024-07-11 13:51:32,32.3
2024-07-11 13:51:34,32.3
2024-07-11 13:51:36,32.3
2024-07-11 13:51:38,32.3
2024-07-11 13:51:40,32.3
2024-07-11 13:51:42,32.3
2024-07-11 13:51:44,32.3
2024-07-11 13:51:46,32.3
2024-07-11 13:51:48,32.3
2024-07-11 13:51:51,32.3
2024-07-11 13:51:53,32.3
2024-07-11 13:51:55,32.3
2024-07-11 13:51:57,32.3
2024-07-11 13:51:59,32.3
2024-07-11 13:52:01,32.3
2024-07-11 13:52:03,32.3
2024-07-11 13:52:05,32.3
2024-07-11 13:52:07,32.3
2024-07-11 13:52:09,32.3
2024-07-11 13:52:12,32.3
2024-07-11 13:52:14,32.3
2024-07-11 13:52:16,32.3
2024-07-11 13:53:08,32.3
2024-07-11 13:53:10,32.3
2024-07-11 13:53:12,32.3
2024-07-11 13:53:14,32.3
2024-07-11 13:53:17,32.3
2024-07-11 13:53:19,32.3
2024-07-11 13:53:21,32.3
2024-07-11 13:53:23,32.3
2024-07-11 13:53:25,32.3
2024-07-11 13:53:27,32.3
2024-07-11 13:53:29,32.3
2024-07-11 13:53:31,32.3
2024-07-11 13:53:33,32.3
2024-07-11 13:53:35,32.3
2024-07-11 13:53:38,32.3
2024-07-11 13:53:40,32.3
2024-07-11 13:53:42,32.3
2024-07-11 13:53:44,32.3
2024-07-11 13:53:46,32.3
2024-07-11 13:53:48,32.3
2024-07-11 13:53:50,32.3
2024-07-11 13:53:52,32.3
2024-07-11 13:53:54,32.3
2024-07-11 13:53:57,32.3
2024-07-11 13:53:59,32.3
2024-07-11 13:54:01,32.3
2024-07-11 13:54:03,32.3
2024-07-11 13:54:05,32.3
2024-07-11 13:54:07,32.3
2024-07-11 13:54:09,32.3
2024-07-11 13:54:11,32.3
2024-07-11 13:54:13,32.3
2024-07-11 13:54:15,32.3
2024-07-11 13:54:18,32.3
2024-07-11 13:54:20,32.3
2024-07-11 13:54:22,32.3
2024-07-11 13:54:24,32.3
2024-07-11 13:54:26,32.3
2024-07-11 13:54:28,32.3
2024-07-11 13:54:30,32.3
2024-07-11 13:54:32,32.3
2024-07-11 13:54:34,32.3
2024-07-11 13:54:37,32.3
2024-07-11 13:54:39,32.3
2024-07-11 13:54:41,32.3
2024-07-11 13:54:43,32.3
2024-07-11 13:54:45,32.3
2024-07-11 13:54:47,32.3
2024-07-11 13:54:49,32.3
2024-07-11 13:54:51,32.3
2024-07-11 13:54:53,32.3
2024-07-11 13:54:55,32.3
2024-07-11 13:54:58,32.3
2024-07-11 13:55:00,32.3
2024-07-11 13:55:02,32.3
2024-07-11 13:55:04,32.3
2024-07-11 13:55:06,32.3
2024-07-11 13:55:08,32.3
2024-07-11 13:55:10,32.3
2024-07-11 13:55:12,32.3
2024-07-11 13:55:14,32.3
2024-07-11 13:55:16,32.3
2024-07-11 13:55:19,32.3
2024-07-11 13:55:21,32.3
2024-07-11 13:55:23,32.3
2024-07-11 13:55:25,32.3
2024-07-11 13:55:27,32.3
2024-07-11 13:55:29,32.3
2024-07-11 13:55:31,32.3
2024-07-11 13:55:33,32.2
2024-07-11 13:55:35,32.3
2024-07-11 13:55:38,32.2
2024-07-11 13:55:40,32.2
2024-07-11 13:55:42,32.2
2024-07-11 13:55:44,32.3
2024-07-11 13:55:46,32.2
2024-07-11 13:55:48,32.2
2024-07-11 13:55:50,32.2
2024-07-11 13:55:52,32.2
2024-07-11 13:55:54,32.2
2024-07-11 13:55:56,32.2
2024-07-11 13:55:59,32.2
2024-07-11 13:56:01,32.2
2024-07-11 13:56:03,32.2
2024-07-11 13:56:05,32.2
2024-07-11 13:56:07,32.2
2024-07-11 13:56:09,32.2
2024-07-11 13:56:11,32.2
2024-07-11 13:56:13,32.2
2024-07-11 13:56:15,32.2
2024-07-11 13:56:17,32.2
2024-07-11 13:56:20,32.2
2024-07-11 13:56:22,32.2
2024-07-11 13:56:24,32.2
2024-07-11 13:56:26,32.2
2024-07-11 13:56:28,32.2
2024-07-11 13:56:30,32.2
2024-07-11 13:56:32,32.2
2024-07-11 13:56:34,32.2
2024-07-11 13:56:36,32.2
2024-07-11 13:56:39,32.2
2024-07-11 13:56:41,32.2
2024-07-11 13:56:43,32.2
2024-07-11 13:56:45,32.2
2024-07-11 13:56:47,32.2
2024-07-11 13:56:49,32.2
2024-07-11 13:56:51,32.2
2024-07-11 13:56:53,32.2
2024-07-11 13:56:55,32.2
2024-07-11 13:56:57,32.2
2024-07-11 13:57:00,32.2
2024-07-11 13:57:02,32.2
2024-07-11 13:57:04,32.2
2024-07-11 13:57:06,32.2
2024-07-11 13:57:08,32.2
2024-07-11 13:57:10,32.2
2024-07-11 13:57:12,32.2
2024-07-11 13:57:14,32.2
2024-07-11 13:57:16,32.2
2024-07-11 13:57:19,32.2
2024-07-11 13:57:21,32.2
